season,team,opportunities,oaa,oaa_per_100,rank_group
2023,BOS,2669,-45.2,-1.69,Bottom 10
2023,KC,1988,-33.6,-1.69,Bottom 10
2023,PIT,2521,-42.7,-1.69,Bottom 10
2023,WSH,2474,-48.7,-1.97,Bottom 10
2023,CHC,3068,-60.8,-1.98,Bottom 10
2023,STL,2674,-52.9,-1.98,Bottom 10
2023,SF,2561,-64.1,-2.5,Bottom 10
2023,ATL,3613,-91.5,-2.53,Bottom 10
2023,COL,2077,-63.3,-3.05,Bottom 10
2023,MIA,2499,-94.2,-3.77,Bottom 10
2023,NYM,2408,54.6,2.27,Top 10
2023,LAD,3241,61.4,1.89,Top 10
2023,LAA,2380,30.2,1.27,Top 10
2023,OAK,1631,19.6,1.2,Top 10
2023,NYY,2700,12.3,0.45,Top 10
2023,AZ,3246,5.2,0.16,Top 10
2023,SD,3097,-0.0,-0.0,Top 10
2023,DET,2534,-0.3,-0.01,Top 10
2023,MIL,2750,-1.5,-0.05,Top 10
2023,BAL,3490,-9.8,-0.28,Top 10
2024,NYM,2928,-16.1,-0.55,Bottom 10
2024,SF,2479,-21.6,-0.87,Bottom 10
2024,PIT,2373,-21.9,-0.92,Bottom 10
2024,MIA,1810,-18.5,-1.02,Bottom 10
2024,AZ,3137,-33.8,-1.08,Bottom 10
2024,STL,2990,-41.1,-1.37,Bottom 10
2024,PHI,2996,-61.6,-2.05,Bottom 10
2024,COL,2065,-42.8,-2.07,Bottom 10
2024,BOS,2872,-62.9,-2.19,Bottom 10
2024,WSH,2544,-59.8,-2.35,Bottom 10
2024,SEA,2856,81.6,2.86,Top 10
2024,CWS,1629,38.8,2.38,Top 10
2024,OAK,2468,58.0,2.35,Top 10
2024,LAD,3594,82.0,2.28,Top 10
2024,CLE,3066,68.7,2.24,Top 10
2024,CIN,2558,54.0,2.11,Top 10
2024,NYY,3477,58.9,1.69,Top 10
2024,KC,2895,37.9,1.31,Top 10
2024,TOR,2685,34.3,1.28,Top 10
2024,DET,3167,30.7,0.97,Top 10
2025,MIN,2279,1.1,0.05,Bottom 10
2025,STL,2650,-10.6,-0.4,Bottom 10
2025,BOS,3067,-14.7,-0.48,Bottom 10
2025,TB,2564,-17.6,-0.69,Bottom 10
2025,PHI,3373,-35.3,-1.05,Bottom 10
2025,TOR,3478,-41.0,-1.18,Bottom 10
2025,WSH,2227,-29.7,-1.33,Bottom 10
2025,PIT,2327,-33.0,-1.42,Bottom 10
2025,COL,1562,-23.4,-1.5,Bottom 10
2025,NYM,2648,-75.7,-2.86,Bottom 10
2025,CLE,2800,92.7,3.31,Top 10
2025,SD,3031,77.2,2.55,Top 10
2025,CHC,3119,62.5,2.0,Top 10
2025,TEX,2714,51.5,1.9,Top 10
2025,LAD,3372,60.7,1.8,Top 10
2025,ATH,2382,39.2,1.65,Top 10
2025,CIN,2574,41.8,1.62,Top 10
2025,NYY,3241,43.4,1.34,Top 10
2025,BAL,2436,28.0,1.15,Top 10
2025,SEA,3118,29.9,0.96,Top 10
